Название;Цена, руб.;Артикул;Стартовый ток;Емкость;Номинальное напряжение;Клемы;Полярность;Длина;Ширина;Высота;Вес;Изготовитель;Страна производства
Forse 85 Ач (низ) обр.п. (0);10390;00008323;800А;85,0 Ач;12В;Толстые;Обратная;310 мм.;175 мм.;175 мм.;18.9 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Тюмень AGM 95 Ач обр.п. (0);17880;00008197;800А;95,0 Ач;12В;Толстые;Обратная;350 мм.;175 мм.;190 мм.;24.3 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
ТЮМЕНЬ Азия 65 Ач (23 L) обр.п. (0);6300;00008196;580А;65,0 Ач;12В;Толстые;Обратная;230 мм.;170 мм.;220 мм.;16.3 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Bars Silver 100 Ач прям.п. (1);8030;00008121;780А;100,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;23.4 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
SUPER FB Truck&Bus 150 Ач (155 G 51) прям.п. (4);19900;00008104;765А;150,0 Ач;12В;Толстые;Прямая;510 мм.;220 мм.;225 мм.;38.8 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
SUPER FB Truck&Bus 130 Ач (130 F 51) прям.п. (4);18900;00008103;695А;130,0 Ач;12В;Толстые;Прямая;500 мм.;180 мм.;225 мм.;32.9 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
Topla Energy 75 Ач прям.п. (1);9300;00000330;750А;75,0 Ач;12В;Толстые;Прямая;278 мм.;1175 мм.;190 мм.;17.9 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla Energy 75 Ач обр.п. (0);9300;00000449;750А;75,0 Ач;12В;Толстые;Обратная;278 мм.;1175 мм.;190 мм.;17.9 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla Energy 66 Ач обр.п. (0);7800;00003221;620А;66,0 Ач;12В;Толстые;Обратная;242 мм.;173 мм.;190 мм.;15.7 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla Energy 60 Ач прям.п. (1);6770;00000329;600А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.4 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla Energy 60 Ач обр.п. (0);6770;00000447;600А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;15.4 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla 75 а/ч (D26R) (азия) (1);9450;00008097;740А;75,0 Ач;12В;Толстые;Прямая;259 мм.;175 мм.;220 мм.;20 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla 75 а/ч (D26L) (азия) (0);9450;00003226;740А;75,0 Ач;12В;Толстые;Обратная;259 мм.;175 мм.;220 мм.;20 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla 65 а/ч (D23L) (азия) (0);8250;00003225;650А;65,0 Ач;12В;Толстые;Обратная;230 мм.;170 мм.;200 мм.;15 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla 55 а/ч (B24L) (азия) (0);7500;00008100;490А;55,0 Ач;12В;Толстые;Обратная;236 мм.;128 мм.;220 мм.;13.2 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla 100 а/ч (D31R) (азия) (1);12300;00008099;900А;100,0 Ач;12В;Толстые;Прямая;310 мм.;175 мм.;220 мм.;21.3 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Topla 100 а/ч (D31L) (азия) (0);12300;00008098;900А;100,0 Ач;12В;Толстые;Обратная;310 мм.;175 мм.;220 мм.;21.3 кг.;TAB MAK d.o.o;Республика Словения г.Межица
Numax Silver Euro 56513 65 Ач обр. п. (0);7290;00008081;650А;65,0 Ач;12В;Толстые;Обратная;240 мм.;175 мм.;175 мм.;15.4 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Тюмень Premium 61 Ач низ обр.п. (0);5870;00008072;540А;61,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;175 мм.;14.8 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень Premium 61 Ач низ прям.п. (1);5870;00008056;540А;61,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;175 мм.;14.8 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
